site,mean MaxTemp,max MaxTemp,mean Days18,years MaxTemp18,freq Max18,mean Resistance,mean RMSE,total Obs,flag
MAFW_MACobb55,24.0,25.8,82.5,34,1.000,148.1,1.43,464,
MAFW_MACold55,17.8,18.7,1.6,9,0.265,599.5,1.37,459,
MAFW_MAColl55,21.9,23.8,53.4,34,1.000,206.5,1.23,489,
MAFW_MADunb55,18.5,20.2,4.8,28,0.824,286.8,0.99,210,
MAFW_MAFirs55,19.6,21.1,17.4,34,1.000,390.8,0.86,241,
MAFW_MAGibb55,18.3,19.7,4.2,22,0.647,422.2,1.28,225,
MAFW_MAGulf55,20.0,21.5,22.3,34,1.000,357.7,0.95,468,
MAFW_MAHogH55,19.7,21.4,17.9,34,1.000,339.4,0.90,486,
MAFW_MAKear55,18.2,19.7,3.7,21,0.618,429.4,1.14,497,
MAFW_MAKeyu55,19.7,21.3,18.7,34,1.000,364.3,0.65,98,
MAFW_MALyon55,24.2,26.2,92.7,34,1.000,222.5,1.67,453,Flag
MAFW_MAMann55,18.1,19.5,3.0,20,0.588,371.8,0.59,54,
MAFW_MAMaxw55,19.0,20.5,8.3,33,0.971,420.8,1.66,214,Flag
MAFW_MAMayn55,23.5,25.2,77.3,34,1.000,148.8,1.01,480,
MAFW_MARoar55,20.1,21.7,23.6,34,1.000,416.6,0.90,507,
MAFW_MARoar60,22.7,24.5,69.4,34,1.000,180.7,1.03,532,
MAFW_MASWac55,20.9,22.5,38.0,34,1.000,277.7,1.10,455,
MAFW_MAShak55,20.0,21.7,18.1,34,1.000,315.4,0.71,69,
MAFW_MAStag55,19.1,20.6,10.7,33,0.971,445.1,1.13,512,
MAFW_MAStee55,19.4,20.9,12.6,34,1.000,357.9,0.49,54,
MAFW_MAUntM55,19.3,20.6,13.8,34,1.000,436.0,1.14,484,
MAFW_MAWarr55,21.0,22.2,45.6,34,1.000,354.5,1.07,470,
MAFW_MAWeke55,22.3,23.8,73.8,34,1.000,235.4,0.84,223,
MAFW_MAWhet55,20.3,21.9,26.5,34,1.000,355.6,0.87,475,
MAFW_Mudd55,21.5,22.6,51.4,34,1.000,339.2,1.00,262,
MAFW_Mudd65,20.7,21.9,40.1,34,1.000,410.6,1.01,261,
MAFW_Scad60,19.7,20.9,22.1,34,1.000,459.7,1.00,245,
MAFW_Scad65,21.0,22.3,42.4,34,1.000,355.3,0.98,264,
MAFW_Sprg55,21.5,22.7,52.3,34,1.000,343.2,1.01,257,
MAFW_Sprg60,19.1,20.0,15.2,33,0.971,497.6,1.22,263,
MAFW_UCen55,21.8,25.2,35.8,34,1.000,430.3,1.76,218,Flag
MAUSGS_SEC_30_DL,18.7,19.9,8.0,30,0.882,472.7,1.11,1879,
MAUSGS_SEC_45_DL,18.8,20.0,9.2,30,0.882,454.7,1.24,1188,
MAUSGS_SEC_6_DL,18.4,19.7,5.5,24,0.706,499.4,1.12,2460,
MAUSGS_WB_JIMMY,18.5,20.0,6.5,23,0.676,526.3,0.93,1294,
MAUSGS_WB_MITCHELL,20.1,21.7,29.7,34,1.000,357.5,1.48,1381,
MAUSGS_WEST_BROOK,19.7,21.2,20.0,34,1.000,405.7,1.10,759,
