streamName,agency,site,currentFeatureID,correctFeatureID,localCatchment,notes
Westbrook,MAUSGS,MAUSGS_SEC_30_DL,6780769,6780791,0,
Obear,MAUSGS,MAUSGS_WB_OBEAR,6780769,6780791,1,
Jimmy,MAUSGS,MAUSGS_WB_JIMMY,6780769,1,0,
Westbrook,MAUSGS,MAUSGS_SEC_45_DL,6780771,1,0,
Westbrook,MAUSGS,MAUSGS_WEST_BROOK,6780791,1,0,
Mitchell,MAUSGS,MAUSGS_WB_MITCHELL,6780791,1,1,
Westbrook,MAUSGS,MAUSGS_SEC_6_DL,6780791,1,0,
