"FEATUREID","SpringBP","SummerBP","FallBP","SyncTemps","RiseSlope","RiseSloCI","FallSlope","FallSloCI","SummerMaxT","SumrMaxTCI","StreamOrder"
1509,69.5488616926462,201.060035091175,312.92136648639,243.372504793744,0.897116066593275,0.0584234234407279,0.791257818896881,0.0540186483795626,20.9398021256695,0.332781806771635,1
1679,72.5484795855946,202.955182864758,306.875240370081,234.326760784486,1.0002731381135,0.0631877659767639,0.865248129146723,0.075163333793459,20.9166518564035,0.403811108659127,2
2713,60.4219988542864,201.004242361828,312.815662832351,252.393663978065,0.970555941368427,0.0605136853382989,0.820217664837275,0.0685373117572112,21.7524804785562,0.256371231822556,2
2717,55.4356181052982,197.660096669446,316.203675186243,260.768057080944,1.06111034177164,0.0633735331557355,0.891622225065362,0.0707031140957446,22.9939193752799,0.456159610641357,4
2727,57.6311950054597,197.904402338516,322.706879376977,265.075684371517,1.04512399601035,0.0685984447096346,0.8969095096965,0.0791406848492671,24.2791570448875,0.416953513804401,4
2729,57.6034841464144,197.896638824102,322.696406827831,265.092922681416,1.04537963713115,0.0686067021464405,0.897116826176704,0.0791518455309765,24.2784277382841,0.417185008652467,4
2733,57.4555807279901,197.862504884286,322.564102207635,265.108521479645,1.0461696891909,0.0693032125544426,0.898026069970095,0.0790658023812145,24.1057089238369,0.417561473705909,4
2735,57.5930587207337,197.901194618658,322.703752562228,265.110693841495,1.04471775150211,0.0691780236732753,0.897810770527334,0.0786241850442255,24.2508663496624,0.417341128367255,4
2737,56.3971633857045,195.97437229571,317.358779492206,260.961616106501,0.957857312729057,0.0503951716972069,0.795121672858994,0.0468882382064406,19.3624248774462,0.537165700894967,1
2739,57.4737045472463,197.863804358736,322.717300683933,265.243596136687,1.04601602985983,0.068620977165835,0.897126383384853,0.0793511443647732,24.2714607329704,0.417617451545603,4
2741,55.2018491030852,197.54700869193,316.670413061071,261.468563957986,1.05963851266639,0.0631410152281719,0.890153875017888,0.0703405416186769,22.9900468254971,0.456256518616499,4
2743,82.9086813169848,195.032493383117,312.694979312321,229.786297995336,0.854106198764304,0.0589832383097115,0.77281580448921,0.0508269286512122,25.8202918398117,0.410179196121504,1
2747,61.5814357029403,196.997612525059,321.042191572047,259.460755869106,0.929267987122638,0.0489462047837526,0.781316622553803,0.0440821042295971,19.3923473139748,0.622733174371788,1
2749,55.47150289262,199.723445079645,326.942441313073,271.470938420453,1.01421253029995,0.0586655712614643,0.763284826568584,0.180088789571805,20.1325052652628,0.481213589642678,3
2753,61.1483901320911,199.919438041693,303.183850828966,242.035460696875,0.986325633291419,0.0589329270456997,0.829619997601278,0.073371855082043,20.0161710190185,0.384261123002979,2
2755,64.3488909830933,197.290470541761,303.412692691746,239.063801708652,0.965514507709963,0.0609471040904352,0.821577482187268,0.0673233144441236,23.1393424870473,0.323771257643521,1
2757,54.0759708573233,199.094040594962,327.313850295565,273.237879438242,1.02132005803389,0.0585780554749408,0.692494915000368,0.233861194911034,23.4179232362397,0.510498068094506,3
2761,68.1178637416145,200.368725115793,305.640041662807,237.522177921193,0.94729065581798,0.0595120159365903,0.806360800004282,0.0639601383666863,21.7836231210243,0.261457855781465,1
2763,61.3956910797298,200.538265920617,313.979577621645,252.583886541915,0.969312755338799,0.0603439134960602,0.825747602763204,0.0700327110991377,20.6905684823787,0.360157582629469,2
2767,80.50088056783,198.521316915305,311.469030103221,230.968149535391,0.901370487378984,0.0613001811916682,0.814312602385567,0.0609743589711425,22.6345795320846,0.384220948665245,2
2769,53.9291163644383,196.989303268184,321.122770065885,267.193653701447,1.01749654135001,0.067561384428148,0.855070570502682,0.0725952193462067,23.8319373902004,0.418342617595464,3
2771,61.3303289762413,200.588396087988,300.174255385638,238.843926409397,1.01459538176667,0.0635696530365103,0.856927645412609,0.08373057038194,19.8473514921161,0.40742587576343,2
2773,54.1182655081426,196.874508213749,321.165315446242,267.047049938099,1.02250271783488,0.0665565705392472,0.858436372966331,0.07285812731941,23.9112405550695,0.415902862713388,3
2775,61.8559687043557,199.084270445898,318.251227952132,256.395259247776,0.918362678961878,0.0507964519292119,0.791620160198934,0.0488084624250764,22.1156532296006,0.44319041233728,1
2777,61.7913484109707,197.51333317915,313.137812586524,251.346464175554,0.915649529195502,0.0523908460136244,0.776926408312468,0.0486876036821164,19.6754707757149,0.417773555155335,1
2779,61.087129877196,207.021298646604,295.457457648754,234.370327771558,0.978845049416033,0.05840022650514,0.792809964403347,0.0860475460599344,19.2314293767619,0.257372983174349,1
2781,59.4833782504781,197.492468470005,320.91390083887,261.430522588392,1.01206231601662,0.0732561379177686,0.86406204240639,0.0812082992178913,26.6622431073817,0.39421925480346,4
2783,64.215749031917,204.111726818986,307.2242314796,243.008482447683,0.982187909574959,0.0609850235458588,0.830035739182843,0.0738235164528187,20.2339235546029,0.241125096997678,2
2785,82.681697426906,198.653709391326,317.408542993032,234.726845566126,0.864285539446988,0.0576791684805018,0.799749971381891,0.0536559913105192,22.3180893073645,0.380635628573707,1
2787,62.7239033815697,199.847526429969,309.493214573546,246.769311191976,0.945113269779358,0.0537692461531056,0.795572544659229,0.055330723983986,18.9456241836294,0.394444828759212,1
2789,74.4284492698007,203.862969738119,312.182275662734,237.753826392933,0.919456241615832,0.0601962707653079,0.819299674923915,0.0672702456890926,20.8040620505252,0.361143424473987,1
2791,59.5423220895141,196.587325346225,317.509395903053,257.967073813539,0.922251826599981,0.051776634919366,0.784095112015216,0.0462205937846358,19.4911523539305,0.473160388961162,1
