"FEATUREID","Latitude","Longitude"
4290035,46.921441,-69.710613
4289725,46.903646,-69.649558
4289239,46.909813,-69.67473
4290033,46.928578,-69.689122
4289219,46.957393,-69.625713
4289193,47.036489,-69.816797
4289215,46.958221,-69.698715
4289231,46.924831,-69.62386
4290029,46.926278,-69.624919
4289695,46.92343,-69.623604
4289197,46.987943,-69.540777
4288429,47.019908,-69.583244
4289179,46.999874,-69.585393
4288523,47.040394,-69.623021
4288417,47.022026,-69.633076
4289203,46.983407,-69.609466
4288715,47.087394,-69.52359
4288371,47.074059,-69.514308
4288363,47.077137,-69.58947
4289211,46.963437,-69.468055
4289659,46.956633,-69.468575
4289189,46.999371,-69.430727
4289639,46.985956,-69.402819
4288423,47.026701,-69.416068
4288691,47.007612,-69.388165
4288419,47.036854,-69.387164
4288681,47.015583,-69.362959
4288321,47.118496,-69.452284
4288283,47.142944,-69.5233
4288299,47.130051,-69.558107
4288285,47.142042,-69.57132
4288317,47.122478,-69.533318
4288389,47.055013,-69.438692
4288337,47.138383,-69.388674
4288305,47.14997,-69.419751
4288289,47.194348,-69.465428
4288515,47.089185,-69.264235
4288655,47.065752,-69.244318
4288325,47.123906,-69.270471
4288293,47.163326,-69.300043
4288291,47.150722,-69.269781
4288269,47.165108,-69.27937
4288711,47.165314,-69.286483
4288267,47.162205,-69.269299
4288709,47.170366,-69.267165
4288327,47.12133,-69.299796
4288351,47.091653,-69.244001
4288647,47.082653,-69.23494
4288643,47.085337,-69.228717
4288345,47.101726,-69.239194
4288333,47.116286,-69.206731
4288613,47.099949,-69.188886
4288311,47.139236,-69.210112
4288309,47.130384,-69.189699
4288609,47.103735,-69.184142
4288331,47.118424,-69.183156
4288319,47.124007,-69.157063
4288599,47.110271,-69.133945
4288503,47.187101,-69.136686
4288483,47.236471,-69.187977
4288211,47.246032,-69.170456
4288213,47.233527,-69.165499
4288469,47.276773,-69.215867
4288459,47.309076,-69.250087
4288161,47.313852,-69.306337
4288169,47.292888,-69.297042
4288465,47.26551,-69.299031
4288175,47.29188,-69.337564
4288159,47.38591,-69.430005
4288157,47.384518,-69.354616
4288173,47.266684,-69.427538
4288461,47.228163,-69.395747
4288227,47.23016,-69.454365
4288231,47.192482,-69.413755
4288707,47.192067,-69.42316
4288219,47.229495,-69.295443
4288223,47.217265,-69.338056
4288229,47.206879,-69.318548
4288199,47.23696,-69.244519
4288221,47.223922,-69.232051
4288479,47.204643,-69.264197
4288485,47.205571,-69.246535
4288491,47.198596,-69.214723
4288497,47.181547,-69.19126
4288259,47.171685,-69.244685
4288277,47.14822,-69.174559
4288301,47.132207,-69.1418
4288591,47.093608,-69.025136
4288341,47.105203,-69.042141
4288313,47.121739,-69.052917
4288329,47.1079,-69.030026
4287473,47.126031,-68.94983
4287439,47.15424,-68.94902
4287819,47.154064,-68.946876
4287443,47.156933,-68.978851
4287441,47.165184,-68.96433
4287423,47.16821,-68.944144
4287815,47.16184,-68.934192
4287357,47.207612,-69.00083
4288233,47.204384,-69.047271
4288255,47.180181,-69.064328
4288281,47.143786,-69.048893
4288509,47.160988,-69.105199
4288247,47.201448,-69.080826
4288263,47.169526,-69.025167
4288251,47.177617,-69.01166
4287405,47.181894,-68.988502
4288225,47.221154,-69.036832
4288183,47.277609,-69.097268
4288187,47.255518,-69.128544
4288471,47.244229,-69.105801
4288215,47.236245,-69.091713
4288217,47.22945,-69.076014
4288135,47.390984,-69.061028
4288137,47.379693,-69.094676
4288143,47.344833,-69.089676
4288701,47.336299,-69.102829
4288125,47.396871,-69.107631
4288139,47.362376,-69.11936
4288699,47.371354,-69.145992
4288111,47.435151,-69.309357
4288457,47.371618,-69.252418
4288151,47.334438,-69.166736
4288145,47.353775,-69.173761
4288147,47.351403,-69.156857
4288133,47.385702,-69.165376
4288123,47.401589,-69.153086
4289595,46.733488,-69.939629
4290057,46.730936,-69.917093
4289597,46.692889,-69.896044
4289603,46.679236,-69.924056
4289599,46.694769,-69.936563
4287059,47.036344,-67.791251
4287113,47.026011,-67.805384
4287107,47.039185,-67.810252
4287061,47.014163,-67.795836
4287169,47.018426,-67.799029
4287115,47.013565,-67.814453
4287171,47.001456,-67.81558
4290589,46.19236,-70.066496
4290591,46.183096,-70.099992
4287105,47.040182,-67.869898
4287763,47.252183,-68.592941
4287335,47.256158,-68.587552
4287761,47.255744,-68.589472
4292711,47.25425,-68.590889
4287931,47.355109,-68.370887
4287721,47.361825,-68.413395
4287929,47.381231,-68.381663
4287689,47.3589,-68.296029
4287919,47.734154,-68.683932
4287927,47.355337,-68.347526
4287917,47.358227,-68.309595
4287911,47.359087,-68.300596
4287691,47.35504,-68.300154
4287703,47.284789,-68.135736
4287709,47.269414,-68.094185
4287935,47.667212,-68.219916
4287939,47.277624,-68.101697
4287707,47.285056,-68.106413
4287701,47.286548,-68.121193
4287937,47.298472,-68.111491
4287947,47.284134,-68.377237
4287949,47.279051,-68.388999
4287735,47.284922,-68.394023
4287737,47.291637,-68.400144
4287951,47.289398,-68.388674
4287729,47.290218,-68.380134
4287733,47.289193,-68.397118
4287955,47.278174,-68.395477
4287741,47.283697,-68.3995
4287965,47.290908,-68.444932
4287967,47.335713,-68.483511
4287959,47.278473,-68.41977
4287957,47.298992,-68.416473
4287745,47.295115,-68.484135
4287963,47.277084,-68.433752
4287743,47.271107,-68.411568
4287739,47.283472,-68.404087
4287993,47.202751,-68.817205
4288893,46.977124,-68.906239
4290125,46.641305,-70.079705
4289791,46.784669,-69.591989
4289785,46.791453,-69.589917
4289789,46.787052,-69.589934
4289819,46.776745,-69.600301
4289825,46.772368,-69.601649
4289777,46.794159,-69.576743
4289779,46.793189,-69.585191
4290123,46.622293,-70.001518
4290087,46.63674,-69.980723
4289569,46.809978,-69.838241
4290127,46.620545,-70.000322
4289403,46.62022,-69.998247
4292695,46.598917,-69.974471
4289971,46.598158,-69.96947
4289967,46.596391,-69.979373
4287055,47.055871,-67.861496
4292665,47.209328,-68.810181
4287999,47.203659,-68.827295
4287781,47.204251,-68.825656
4289761,46.875312,-69.688096
4289431,46.601072,-69.997746
4290111,46.598484,-69.999679
4290119,46.601312,-70.001445
4289457,46.509983,-69.981775
4290019,46.511383,-69.980468
4290095,46.508878,-69.983836
4289673,46.961697,-69.510596
4289899,46.685715,-69.723341
4289895,46.690811,-69.721237
4289905,46.678531,-69.724362
4289885,46.707023,-69.714118
4289891,46.70146,-69.722899
4290553,46.492406,-70.02037
4290115,46.504366,-70.012828
4290023,46.508975,-70.000658
4287711,47.261195,-68.082243
4290287,46.381602,-69.935295
4290453,46.40604,-69.950035
4287155,47.086417,-67.823399
4292649,47.0957,-67.793311
4292651,47.12561,-67.822968
4287199,47.084879,-67.821119
4287941,47.289039,-68.08455
4287945,47.401502,-68.038428
4287713,47.259984,-68.078406
4287717,47.248003,-68.060084
4287117,47.216791,-67.991238
4287127,47.172633,-67.954221
4287179,47.180452,-67.927547
4287943,47.270434,-68.064832
4287119,47.199694,-67.987264
4287177,47.209425,-67.989963
4287125,47.308849,-67.79281
4287173,47.210921,-67.989684
4287175,47.208314,-67.98506
4287181,47.174617,-67.924445
4287129,47.165277,-67.939653
4287723,47.228008,-67.997237
4287183,47.163513,-67.931859
4287953,47.288094,-68.375103
4287727,47.322748,-68.415461
4287975,47.310601,-68.621629
4287751,47.287182,-68.538062
4287969,47.428855,-68.724673
4287749,47.292673,-68.490397
4287759,47.263542,-68.597891
4287971,47.310263,-68.55324
4287973,47.284721,-68.550273
4287979,47.25607,-68.595397
4288007,47.228993,-68.888153
4288001,47.219897,-68.851158
4289657,46.957682,-69.477354
4289661,46.949898,-69.477365
4289665,46.95209,-69.448142
4292703,46.956936,-69.46073
4289269,46.854758,-69.702111
4289879,46.702563,-69.699279
4289869,46.71561,-69.672083
4289887,46.688799,-69.701205
4289875,46.712252,-69.692064
4289983,46.590215,-69.943927
4289985,46.581893,-69.922071
4289969,46.604123,-69.957452
4290443,46.490196,-69.929186
4290021,46.506178,-69.959934
4292697,46.474848,-69.902463
4290459,46.378045,-69.922895
4290455,46.395518,-69.926598
4288131,47.405119,-69.206364
4288745,47.413503,-69.223958
4287379,47.195638,-68.798236
4287779,47.208198,-68.813625
4287197,47.127744,-67.9986
4287475,47.114595,-68.004933
4287143,47.129264,-67.986569
4287111,47.035955,-67.848576
4287901,47.247337,-68.094314
4290117,46.53759,-70.236207
24892780,46.980316,-68.926589
4289465,46.505974,-69.788906
4290269,46.479537,-69.765006
4292707,46.517413,-69.833104
4290011,46.514202,-69.848373
4290015,46.499974,-69.830629
4290435,46.492563,-69.840149
4287783,47.270704,-68.990056
4287785,47.216753,-68.978776
4287787,47.211079,-68.977298
4287789,47.206673,-68.970933
4287791,47.20456,-68.968647
4287793,47.203518,-68.95274
4287795,47.194833,-68.934265
4287797,47.194849,-68.930174
4287799,47.19161,-68.919683
4287801,47.179256,-68.913953
4288003,47.223894,-68.965908
4288005,47.213814,-68.963595
4288011,47.210945,-68.960459
4288013,47.207364,-68.956874
4288015,47.202422,-68.947978
4288017,47.204781,-68.937422
4288019,47.198986,-68.920525
4288023,47.186877,-68.915221
4288025,47.178787,-68.905573
4288027,47.177609,-68.902915
4288031,47.202057,-68.949312
4288537,47.381589,-69.059373
4288539,47.345665,-69.043258
4288543,47.303193,-69.063071
4288545,47.296619,-69.053123
4288547,47.286529,-69.077577
4288549,47.262731,-69.059938
4288551,47.25554,-69.05723
4288553,47.236632,-69.01487
4288555,47.233758,-69.017823
4288557,47.230941,-69.021812
4288717,47.38561,-69.049164
4288719,47.381764,-69.050147
4288721,47.379698,-69.048817
4288723,47.375905,-69.053994
4288727,47.285712,-69.044189
4288729,47.247034,-69.03885
4288731,47.232537,-69.007715
4288733,47.267618,-69.039323
4288735,47.383072,-69.048472
4288737,47.307796,-69.035669
4288739,47.302177,-69.042513
4288741,47.259539,-69.049139
4288747,47.236872,-69.025529
4292709,47.246958,-69.019083
4292713,47.202631,-68.950542
4289859,46.78042,-69.821588
4289861,46.772342,-69.84261
4289863,46.748156,-69.819693
4290467,46.291324,-69.940958
4290469,46.272959,-69.949645
4290471,46.283167,-69.906925
4290473,46.274132,-69.931326
4290477,46.262765,-69.906339
4290485,46.149853,-69.902232
4290487,46.115359,-69.883265
4290489,46.119195,-69.887889
4290491,46.112187,-69.884228
4290493,46.110054,-69.875246
4290495,46.103987,-69.888745
4290497,46.104201,-69.865279
4290519,46.142804,-69.913892
4292701,46.125678,-69.902532
4288567,47.162293,-69.067712
4288569,47.163884,-69.068539
4288571,47.161067,-69.077689
4288573,47.140889,-69.081878
4288575,47.152804,-69.070884
4287869,47.049505,-68.885522
4287871,47.051121,-68.885758
4287873,47.041256,-68.878192
4287875,47.047542,-68.890833
4287877,47.04414,-68.893695
166157975,46.997513,-68.881125
166157977,46.377947,-70.01808
166157978,46.364355,-69.987337
4287189,47.177414,-67.883141
4287137,47.138295,-67.897724
4287191,47.132324,-67.900534
4287139,47.170988,-67.842542
4287147,47.110071,-67.889327
4287151,47.103879,-67.879563
4287195,47.102463,-67.870899
721640,47.071209,-69.077156
717072,47.077341,-69.041411
717076,47.038601,-69.07959
717082,47.011628,-69.080591
717084,47.000263,-69.08856
718990,46.993978,-69.074401
718994,46.985943,-69.083756
718998,46.983456,-69.083017
719002,46.979256,-69.077065
719006,46.97008,-69.090506
719010,46.969407,-69.11348
719014,46.958466,-69.117413
719018,46.947112,-69.127727
719032,46.949529,-69.175164
719034,46.950304,-69.146823
719036,46.942966,-69.173089
719038,46.946663,-69.158529
717916,46.961315,-69.187517
719024,46.951739,-69.179737
717912,46.957055,-69.208517
717914,46.966897,-69.217578
718766,46.978523,-69.223802
717884,46.983741,-69.217822
717874,46.996824,-69.22842
719050,46.928507,-69.201779
719052,46.923573,-69.197931
719056,46.921948,-69.197834
719060,46.922589,-69.201704
719066,46.917457,-69.20947
719068,46.908294,-69.214328
719076,46.900601,-69.230305
719082,46.892074,-69.246501
719086,46.878059,-69.247676
719090,46.872301,-69.242741
719100,46.863929,-69.251351
719106,46.854017,-69.24727
719110,46.836019,-69.244712
719116,46.814576,-69.234261
719126,46.814645,-69.241466
719122,46.817226,-69.264328
719130,46.820408,-69.256706
719132,46.803911,-69.264551
719136,46.794487,-69.272637
718134,46.801058,-69.304571
719138,46.790658,-69.274626
718100,46.814456,-69.360784
718076,46.825798,-69.367172
718068,46.844913,-69.396368
719140,46.78464,-69.275062
719162,46.784643,-69.326479
719168,46.770943,-69.306073
719172,46.765653,-69.307997
719188,46.763455,-69.301773
719190,46.763132,-69.304161
719192,46.764653,-69.306334
719202,46.763148,-69.352262
719208,46.738906,-69.377844
719462,46.730005,-69.372876
719230,46.714703,-69.374752
718926,46.68065,-69.397862
718284,46.688646,-69.408276
718920,46.693581,-69.416342
718274,46.692329,-69.42879
718340,46.677442,-69.442893
718364,46.659607,-69.45655
718382,46.646185,-69.461648
718390,46.639731,-69.4751
718392,46.633167,-69.480703
718394,46.632485,-69.481452
718934,46.633802,-69.498155
718472,46.613148,-69.509616
719354,46.600446,-69.528736
718466,46.613492,-69.54449
718944,46.601051,-69.564333
718942,46.603568,-69.585759
718484,46.601317,-69.604159
718558,46.575186,-69.598932
718560,46.551315,-69.603751
718592,46.536093,-69.590349
719944,46.473969,-69.642144
719962,46.445752,-69.661719
718546,46.562981,-69.339764
718554,46.555653,-69.341303
718564,46.553194,-69.328584
718568,46.551397,-69.321256
718576,46.540791,-69.326115
718588,46.535796,-69.314266
718608,46.524041,-69.302401
718630,46.516426,-69.28825
718650,46.510604,-69.285705
718670,46.50338,-69.284578
720060,46.450412,-69.377935
719942,46.467448,-69.423833
719934,46.468852,-69.440834
720196,46.486148,-69.547488
720054,46.481193,-69.500528
719976,46.422997,-69.385624
719982,46.406883,-69.388093
720134,46.412036,-69.389383
719970,46.434406,-69.406792
720058,46.446535,-69.484173
719954,46.446689,-69.55493
720008,46.380064,-69.422731
720152,46.391975,-69.477207
719996,46.398538,-69.466586
719988,46.392886,-69.484351
720154,46.393888,-69.478242
720160,46.403165,-69.497528
719986,46.402481,-69.530006
720144,46.420947,-69.509304
719968,46.427204,-69.534451
720204,46.420411,-69.568179
720030,46.320197,-69.195765
720020,46.357705,-69.189948
720012,46.372213,-69.337467
720014,46.362731,-69.310613
720062,46.35582,-69.275915
720006,46.373508,-69.162132
718436,46.618958,-69.358349
718438,46.624521,-69.34405
718442,46.619131,-69.336022
718462,46.616684,-69.318639
718486,46.602534,-69.295526
718492,46.599628,-69.285583
718946,46.594284,-69.246545
718092,46.81227,-69.224987
719112,46.815576,-69.23284
719114,46.814831,-69.232337
718084,46.8166,-69.223619
718090,46.816524,-69.220813
718102,46.819336,-69.205196
718116,46.802914,-69.213961
718130,46.796757,-69.212256
718828,46.789645,-69.206159
718840,46.782257,-69.212494
718148,46.775996,-69.203637
718178,46.76123,-69.191988
718888,46.742959,-69.193437
718218,46.730731,-69.20662
718226,46.723652,-69.195871
718258,46.715547,-69.190984
718260,46.710446,-69.178832
718910,46.696509,-69.189601
718456,46.616681,-69.164042
718470,46.608643,-69.162787
718476,46.610796,-69.149206
718498,46.59109,-69.156124
718510,46.587563,-69.163614
718960,46.560751,-69.113006
718596,46.537478,-69.12104
719448,46.518814,-69.133444
718264,46.704924,-69.181423
718272,46.699722,-69.173884
718290,46.690099,-69.154986
718308,46.679656,-69.136583
718314,46.682442,-69.117684
718304,46.67713,-69.099091
718322,46.674924,-69.078382
718336,46.66734,-69.058666
718876,46.748626,-69.17648
718188,46.740143,-69.165558
718200,46.736916,-69.150062
718202,46.733082,-69.147277
718212,46.72701,-69.145886
718230,46.728412,-69.123948
718242,46.714655,-69.108416
718250,46.709871,-69.082677
718254,46.710919,-69.049042
718040,46.855806,-69.230416
719102,46.85789,-69.24695
718050,46.84103,-69.216386
718052,46.840014,-69.198498
718060,46.834208,-69.189658
718072,46.827821,-69.175191
718818,46.811009,-69.14962
718124,46.795938,-69.137542
718132,46.79323,-69.131405
718982,46.791327,-69.093481
717928,46.952781,-69.084662
717930,46.951721,-69.065579
717936,46.939655,-69.06665
717942,46.938382,-69.05261
717938,46.950811,-69.033371
717948,46.935236,-69.025245
717950,46.934918,-69.01327
717372,46.942494,-68.991046
717952,46.941917,-69.000703
717378,46.931886,-68.997395
717382,46.926074,-68.992202
717386,46.919906,-68.983917
717398,46.902418,-68.976679
717402,46.894605,-68.99848
717406,46.886771,-68.996354
718024,46.87526,-69.001739
717408,46.880032,-68.998776
718028,46.865022,-69.000412
718036,46.856446,-69.004635
718042,46.847627,-69.007367
719080,46.842447,-69.014846
718064,46.833374,-69.00882
717416,46.828711,-68.99635
717418,46.823836,-68.997064
717422,46.819897,-68.996896
721616,46.816613,-68.999766
717424,46.818252,-69.001949
718108,46.807361,-69.013567
718112,46.80429,-69.019409
718126,46.798908,-69.023198
718830,46.795251,-69.018932
718844,46.784521,-69.026507
718854,46.773845,-69.029085
718862,46.766397,-69.025855
718866,46.75893,-69.02781
718884,46.751199,-69.028396
718182,46.745651,-69.030032
718224,46.73303,-69.026335
717994,46.913179,-69.221306
719070,46.908816,-69.215947
718774,46.929734,-69.257405
