agency,site,year,breakpoint
MEDMR,MEDMR_3MAINST1.85,2003,SummerBP
MEDMR,MEDMR_5CROOKE1.75,2001,SummerBP
MEDMR,MEDMR_5CROOKE1.75,2003,SummerBP
MEDMR,MEDMR_5CROOKE1.75,2004,SummerBP
MEDMR,MEDMR_5MAINST43.44,2001,SummerBP
MEDMR,MEDMR_5OLDSTR29.10,2005,SummerBP
MEDMR,MEDMR_5WESTBR11.35,2003,SummerBP
MEDMR,MEDMR_5OLDSTR29.10,2003,SummerBP
MEDMR,MEDMR_5OLDSTR30.34,2000,SummerBP
MEDMR,MEDMR_6MAINST47.78,2011,SummerBP
