streamName,agency,site,Issue
NEPONSET RIVER,MADEP,MADEP_W1933_T1,
NEPONSET RIVER,MADEP,MADEP_W1935_T1,
TUBWRECK BROOK,MADEP,MADEP_W1937_T1,
MILL BROOK,MADEP,MADEP_W1938_T1,
MILL BROOK,MADEP,MADEP_W1941_T1,
NEPONSET RIVER,MADEP,MADEP_W1943_T1,
PURGATORY BROOK,MADEP,MADEP_W1953_T1,
EAST BRANCH (PALMER RIVER),MADEP,MADEP_W1958_T1,
BAD LUCK BROOK,MADEP,MADEP_W1959_T1,
ABERJONA RIVER,MADEP,MADEP_W1965_T1,
MALDEN RIVER,MADEP,MADEP_W1967_T1,abnormal (warm)
Unnamed Tributary,MADEP,MADEP_W1968_T1,abnormal (cold)
ALEWIFE BROOK,MADEP,MADEP_W1969_T1,
MYSTIC RIVER,MADEP,MADEP_W1973_T1,
MYSTIC RIVER,MADEP,MADEP_W1975_T1,
ABERJONA RIVER,MADEP,MADEP_W1979_T1,
CHICOPEE BROOK,MADEP,MADEP_W2002_T1,
CHICOPEE BROOK,MADEP,MADEP_W2003_T1,
CHICOPEE BROOK,MADEP,MADEP_W2004_T1,
Unnamed Tributary,MADEP,MADEP_W2006_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2007_T1,
Unnamed Tributary,MADEP,MADEP_W2008_T1,
WEIR RIVER,MADEP,MADEP_W2033_T1,
WEIR RIVER,MADEP,MADEP_W2034_T1,
Unnamed Tributary,MADEP,MADEP_W2038_T1,
 - There,MADEP,MADEP_W2039_T1,
EEL RIVER,MADEP,MADEP_W2040_T1,
OLD SWAMP RIVER,MADEP,MADEP_W2043_T1,
OLD SWAMP RIVER,MADEP,MADEP_W2045_T1,
MARY LEE BROOK,MADEP,MADEP_W2050_T1,
FARM RIVER,MADEP,MADEP_W2053_T1,
MILL RIVER,MADEP,MADEP_W2057_T1,
TEMPLE BROOK,MADEP,MADEP_W2058_T1,
SCANTIC RIVER,MADEP,MADEP_W2059_T1,
BUTTERY BROOK,MADEP,MADEP_W2060_T1,
BUTTERY BROOK,MADEP,MADEP_W2061_T1,
CHILDS RIVER,MADEP,MADEP_W2071_T1,
Unnamed Tributary,MADEP,MADEP_W2072_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2073_T1,
MARSTONS MILLS RIVER,MADEP,MADEP_W2074_T1,
RED BROOK,MADEP,MADEP_W2075_T1,
FRESH BROOK,MADEP,MADEP_W2076_T1,
QUAKER RUN,MADEP,MADEP_W2077_T1,abnormal (warm)
HERRING BROOK,MADEP,MADEP_W2078_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2079_T1,
HERRING RIVER,MADEP,MADEP_W2080_T1,abnormal (warm)
SPRINGHILL CREEK,MADEP,MADEP_W2082_T1,
BUMPS RIVER,MADEP,MADEP_W2084_T1,
Unnamed Tributary,MADEP,MADEP_W2085_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2086_T1,abnormal (cold)
Unnamed Tributary,MADEP,MADEP_W2087_T1,
TEMPLE BROOK,MADEP,MADEP_W2121_T1,
Unnamed Tributary,MADEP,MADEP_W2128_T1,
COLD HARBOR BROOK,MADEP,MADEP_W2129_T1,
BEAVER BROOK,MADEP,MADEP_W2130_T1,
